Entity,Code,Year,Coal price index,Oil spot crude price index,Gas price index
Asian marker price,,1998,26.390877,,
Asian marker price,,1999,24.905273,,
Asian marker price,,2000,28.434568,,
Asian marker price,,2001,33.032124,,
Asian marker price,,2002,27.22341,,
Asian marker price,,2003,32.704975,,
Asian marker price,,2004,64.8354,,
Asian marker price,,2005,55.366005,,
Asian marker price,,2006,50.561424,,
Asian marker price,,2007,75.71194,,
Asian marker price,,2008,132.55818,,
Asian marker price,,2009,70.55644,,
Asian marker price,,2010,94.39333,,
Asian marker price,,2011,112.573364,,
Asian marker price,,2012,94.459,,
Asian marker price,,2013,81.38075,,
Asian marker price,,2014,69.7335,,
Asian marker price,,2015,56.86716,,
Asian marker price,,2016,63.676853,,
Asian marker price,,2017,89.15105,,
Asian marker price,,2018,100,,
Asian marker price,,2019,79.666985,,
Asian marker price,,2020,63.863995,,
Asian marker price,,2021,129.96553,,
Average German import price,,1984,,,60.17523
Average German import price,,1985,,,64.06004
Average German import price,,1986,,,59.16595
Average German import price,,1987,,,38.366016
Average German import price,,1988,,,33.439144
Average German import price,,1989,,,30.12822
Average German import price,,1990,,,41.805622
Average German import price,,1991,,,48.69411
Average German import price,,1992,,,40.643044
Average German import price,,1993,,,37.821926
Average German import price,,1994,,,35.398556
Average German import price,,1995,,,36.598827
Average German import price,,1996,,,37.60294
Average German import price,,1997,,,40.13196
Average German import price,,1998,,,35.098736
Average German import price,,1999,,,28.0544
Average German import price,,2000,,,43.82997
Average German import price,,2001,,,55.226776
Average German import price,,2002,,,48.376194
Average German import price,,2003,,,61.192142
Average German import price,,2004,,,64.78695
Average German import price,,2005,,,87.80599
Average German import price,,2006,,,118.58837
Average German import price,,2007,,,120.39159
Average German import price,,2008,,,174.70665
Average German import price,,2009,,,128.48436
Average German import price,,2010,,,120.949196
Average German import price,,2011,,,158.0012
Average German import price,,2012,,,164.54112
Average German import price,,2013,,,161.54079
Average German import price,,2014,,,137.27103
Average German import price,,2015,,,101.19105
Average German import price,,2016,,,74.26677
Average German import price,,2017,,,84.70889
Average German import price,,2018,,,100.00001
Average German import price,,2019,,,75.75177
Average German import price,,2020,,,61.18723
Average German import price,,2021,,,134.58841
Average German import price,,2022,,,364.00604
Brent,,1976,,17.949781,
Brent,,1977,,19.520388,
Brent,,1978,,19.660622,
Brent,,1979,,44.32755,
Brent,,1980,,51.647697,
Brent,,1981,,50.3856,
Brent,,1982,,46.23471,
Brent,,1983,,41.438755,
Brent,,1984,,40.358963,
Brent,,1985,,38.64812,
Brent,,1986,,20.235575,
Brent,,1987,,25.85195,
Brent,,1988,,20.928102,
Brent,,1989,,25.558966,
Brent,,1990,,33.27135,
Brent,,1991,,28.047815,
Brent,,1992,,27.094126,
Brent,,1993,,23.799776,
Brent,,1994,,22.18148,
Brent,,1995,,23.862946,
Brent,,1996,,28.983973,
Brent,,1997,,26.774048,
Brent,,1998,,17.83151,
