Entity,Code,Year,Oil consumption - TWh,Gas consumption - TWh,Coal consumption - TWh
Africa,,1965,342.1337,9.571929,323.49615
Africa,,1966,370.45,10.698091,323.1222
Africa,,1967,369.19354,10.573845,330.29156
Africa,,1968,390.3657,10.717145,343.5129
Africa,,1969,398.15326,12.520175,346.64288
Africa,,1970,435.02704,15.5485,360.7569
Africa,,1971,474.3054,18.405262,383.0123
Africa,,1972,510.7296,24.670656,384.21082
Africa,,1973,549.80396,39.551792,408.9103
Africa,,1974,569.7385,44.518486,425.64618
Africa,,1975,597.671,53.63838,451.08047
Africa,,1976,652.5852,60.98139,481.07413
Africa,,1977,695.1952,68.23419,491.69846
Africa,,1978,732.366,97.369896,477.81558
Africa,,1979,771.1747,148.8428,507.24698
Africa,,1980,818.15454,186.91397,543.55707
Africa,,1981,885.4927,228.49115,635.79877
Africa,,1982,926.532,246.73354,701.17584
Africa,,1983,964.7042,271.27533,713.24603
Africa,,1984,982.0362,259.90277,762.8979
Africa,,1985,1007.3241,278.84274,787.16583
Africa,,1986,984.45636,313.27118,805.356
Africa,,1987,1038.56,323.38437,828.3197
Africa,,1988,1081.7913,358.44452,890.16077
Africa,,1989,1117.5557,371.47104,835.62085
Africa,,1990,1135.7396,398.64536,877.6782
Africa,,1991,1141.6711,401.6356,853.76215
Africa,,1992,1163.9397,421.27026,858.8312
Africa,,1993,1175.8846,412.64395,871.7139
Africa,,1994,1213.9683,431.82794,894.4478
Africa,,1995,1255.8745,461.2435,922.47125
Africa,,1996,1283.199,484.19174,935.2283
Africa,,1997,1323.6312,474.47552,959.01904
Africa,,1998,1354.9565,499.33698,937.03894
Africa,,1999,1404.4688,504.01962,966.0107
Africa,,2000,1407.994,556.8223,963.73047
Africa,,2001,1422.8947,634.6361,975.9262
Africa,,2002,1456.7892,670.636,934.42163
Africa,,2003,1501.1073,711.536,1017.0484
Africa,,2004,1571.3392,783.10583,1119.1617
Africa,,2005,1641.0862,808.0279,1039.0726
Africa,,2006,1657.1124,843.74774,1054.0969
Africa,,2007,1719.9576,900.41455,1071.6333
Africa,,2008,1806.7784,935.5027,1180.7251
Africa,,2009,1871.0247,941.2384,1176.002
Africa,,2010,1950.0488,981.41986,1165.7358
Africa,,2011,1916.3331,1061.5934,1147.9299
Africa,,2012,2036.6793,1147.7354,1119.2825
Africa,,2013,2110.8115,1170.6193,1131.4148
Africa,,2014,2132.531,1203.4098,1184.3005
Africa,,2015,2192.255,1326.6871,1120.4587
Africa,,2016,2207.7068,1371.4885,1186.4392
Africa,,2017,2233.6814,1450.0593,1185.3502
Africa,,2018,2255.9873,1544.4722,1164.7024
Africa,,2019,2274.9304,1551.5337,1230.6681
Africa,,2020,2024.5469,1536.9286,1178.5452
Africa,,2021,2208.283,1684.705,1159.7943
Africa,,2022,2329.607,1625.0382,1103.5779
Africa (EI),,1965,342.1337,9.571929,323.49615
Africa (EI),,1966,370.45,10.698091,323.1222
Africa (EI),,1967,369.1935,10.573844,330.2916
Africa (EI),,1968,390.3657,10.717145,343.51288
Africa (EI),,1969,398.15326,12.520175,346.64288
Africa (EI),,1970,435.02707,15.548499,360.7569
Africa (EI),,1971,474.30536,18.405264,383.0123
Africa (EI),,1972,510.7296,24.670656,384.21082
Africa (EI),,1973,549.804,39.551792,408.91034
Africa (EI),,1974,569.7385,44.518486,425.6462
Africa (EI),,1975,597.6711,53.638374,451.08047
Africa (EI),,1976,652.5852,60.98139,481.07416
Africa (EI),,1977,695.1952,68.23419,491.69843
Africa (EI),,1978,732.366,97.369896,477.81558
Africa (EI),,1979,771.1747,148.8428,507.24698
Africa (EI),,1980,818.15454,186.91397,543.55707
Africa (EI),,1981,885.4927,228.49115,635.79877
Africa (EI),,1982,926.5319,246.73354,701.17584
Africa (EI),,1983,964.7042,271.27533,713.24603
Africa (EI),,1984,982.03625,259.90277,762.8978
Africa (EI),,1985,1007.3241,278.84274,787.1659
Africa (EI),,1986,984.45636,313.2712,805.356
Africa (EI),,1987,1038.56,323.38437,828.3197
Africa (EI),,1988,1081.7911,358.44455,890.16077
Africa (EI),,1989,1117.5557,371.47104,835.62085
Africa (EI),,1990,1135.7397,398.6454,877.6782
Africa (EI),,1991,1141.6711,401.6356,853.76215
Africa (EI),,1992,1163.9397,421.27026,858.8311
Africa (EI),,1993,1175.8846,412.64398,871.7139
Africa (EI),,1994,1213.9683,431.8279,894.4478
Africa (EI),,1995,1255.8746,461.24347,922.47125
Africa (EI),,1996,1283.199,484.19174,935.2283
Africa (EI),,1997,1323.6312,474.47552,959.0191
Africa (EI),,1998,1354.9564,499.33698,937.03894
Africa (EI),,1999,1404.4688,504.0196,966.0107
Africa (EI),,2000,1407.994,556.8223,963.7305
Africa (EI),,2001,1422.8947,634.6361,975.9262
